time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1679559029.85760427,0.03956012,0.01092803,0.00000313,28411.00000000,0.04865161,0.000000,0.000000
1679559029.95744681,0.03959045,0.00983678,0.00000283,29267.00000000,0.04198654,0.000000,0.000000
1679559030.05728579,0.03968570,0.01252394,0.00000317,29945.00000000,0.04730544,0.000000,0.000000
1679559030.15712571,0.03976031,0.01052969,0.00000340,30533.00000000,0.04580322,0.000000,0.000000
1679559030.25696731,0.03981500,0.01183818,0.00000299,31016.00000000,0.04430026,0.000000,0.000000
1679559030.35761166,0.03982059,0.01167869,0.00000266,31369.00000000,0.04028394,0.000000,0.000000
1679559030.45743942,0.04000262,0.01030051,0.00000364,30879.00000000,0.05529359,0.000000,0.000000
1679559030.55728197,0.04001840,0.01052763,0.00000288,31176.00000000,0.04135941,0.000000,0.000000
1679559030.65711546,0.04006916,0.00940740,0.00000315,31608.00000000,0.04443433,0.000000,0.000000
1679559030.75695443,0.04007133,0.00883058,0.00000281,32032.00000000,0.04026065,0.000000,0.000000
1679559030.85758877,0.04017467,0.00906131,0.00000339,32467.00000000,0.04926825,0.000000,0.000000
1679559030.95742249,0.04018181,0.01013319,0.00000269,32939.00000000,0.04081747,0.000000,0.000000
1679559031.05725956,0.04024904,0.00912344,0.00000320,32313.00000000,0.04629973,0.000000,0.000000
1679559031.15709972,0.04030008,0.01014459,0.00000301,32696.00000000,0.04494457,0.000000,0.000000
1679559031.25695014,0.04035817,0.00861599,0.00000323,33393.00000000,0.04570303,0.000000,0.000000
1679559031.35759306,0.04032663,0.00786749,0.00000278,33359.00000000,0.03739333,0.000000,0.000000
1679559031.45743990,0.04044875,0.00962642,0.00000387,33769.00000000,0.05192772,0.000000,0.000000
1679559031.55727291,0.04052070,0.00939933,0.00000312,34644.00000000,0.04735613,0.000000,0.000000
1679559031.65711045,0.04045671,0.00744544,0.00000285,35512.00000000,0.03431310,0.000000,0.000000
1679559031.75694871,0.04045873,0.00711972,0.00000349,33824.00000000,0.04065522,0.000000,0.000000
1679559031.85758042,0.04049593,0.00767189,0.00000398,34064.00000000,0.04414101,0.000000,0.000000
1679559031.95741463,0.04053369,0.00788310,0.00000390,34232.00000000,0.04427194,0.000000,0.000000
1679559032.05724406,0.04048209,0.00676158,0.00000297,34464.00000000,0.03532220,0.000000,0.000000
1679559032.15708566,0.04049899,0.00778464,0.00000390,34567.00000000,0.04220631,0.000000,0.000000
1679559032.25733066,0.04045291,0.00689452,0.00000325,34687.00000000,0.03575221,0.000000,0.000000
1679559032.35717249,0.04042937,0.00719722,0.00000355,34771.00000000,0.03800541,0.000000,0.000000
1679559032.45700884,0.04038764,0.00694789,0.00000327,34872.00000000,0.03604733,0.000000,0.000000
1679559032.55764365,0.04044436,0.00800042,0.00000434,34998.00000000,0.04639970,0.000000,0.000000
1679559032.65748477,0.04042389,0.00761301,0.00000327,35148.00000000,0.03825410,0.000000,0.000000
1679559032.75732732,0.04045295,0.00746916,0.00000429,35294.00000000,0.04356297,0.000000,0.000000
1679559032.85715508,0.04035380,0.00624377,0.00000270,35446.00000000,0.02964488,0.000000,0.000000
1679559032.95699763,0.04038136,0.00769543,0.00000439,35512.00000000,0.04338619,0.000000,0.000000
1679559033.05763745,0.04033496,0.00641116,0.00000326,35677.00000000,0.03523015,0.000000,0.000000
1679559033.15748405,0.04042966,0.00686988,0.00000482,35858.00000000,0.05094171,0.000000,0.000000
1679559033.25733376,0.04034067,0.00617234,0.00000274,36002.00000000,0.03037395,0.000000,0.000000
1679559033.35717535,0.04034506,0.00656407,0.00000443,36048.00000000,0.04084049,0.000000,0.000000
1679559033.45701456,0.04026873,0.00620042,0.00000346,36192.00000000,0.03156744,0.000000,0.000000
1679559033.55726027,0.04025596,0.00682186,0.00000443,36365.00000000,0.03878750,0.000000,0.000000
1679559033.65708756,0.04019028,0.00593480,0.00000321,36639.00000000,0.03257143,0.000000,0.000000
1679559033.75731492,0.04030436,0.00801912,0.00000480,36836.00000000,0.05365217,0.000000,0.000000
1679559033.85715199,0.04031638,0.00864978,0.00000286,37066.00000000,0.04173418,0.000000,0.000000
1679559033.95699358,0.04036123,0.00915667,0.00000313,37407.00000000,0.04569917,0.000000,0.000000
1679559034.05764341,0.04044359,0.00941865,0.00000366,37776.00000000,0.05032597,0.000000,0.000000
1679559034.15748453,0.04050737,0.01000598,0.00000316,38235.00000000,0.04822533,0.000000,0.000000
1679559034.25733018,0.04053750,0.00926497,0.00000314,38406.00000000,0.04421246,0.000000,0.000000
